category,file,auc,threshold,sensitivity,specificity,accuracy,precision,f1,confusion,best_threshold,best_sensitivity,best_specificity,best_f1
主线/改进型集成与ROI方案,busi_ensemble_effnet5_densenet5_w0.5.json,0.9050,0.5000,0.5905,0.9519,0.8346,0.8552,0.6986,416/21/86/124,0.2800,0.8095,0.8696,0.7780
主线/改进型集成与ROI方案,busi_mixed_ensemble_eval.json,0.9050,0.5000,0.5905,0.9519,0.8346,0.8552,0.6986,416/21/86/124,0.2800,0.8095,0.8696,0.7780
完整5fold单模型/模型族,busi_convnext_tiny_tta_rotate5.json,0.9048,0.5000,0.7381,0.8970,0.8454,0.7750,0.7561,392/45/55/155,0.4000,0.7810,0.8696,0.7610
完整5fold单模型/模型族,busi_convnext_tiny_timm_recipe_5fold.json,0.9044,0.5000,0.7524,0.8947,0.8485,0.7745,0.7633,391/46/52/158,0.4400,0.7762,0.8741,0.7617
完整5fold单模型/模型族,busi_convnext_tiny_tta_hflip.json,0.9041,0.5000,0.7381,0.8924,0.8423,0.7673,0.7524,390/47/55/155,0.4700,0.7667,0.8879,0.7667
完整5fold单模型/模型族,busi_convnext_small_timm_recipe_5fold_tta_crop_sweep.json,0.9040,0.5000,0.8190,0.8535,0.8423,0.7288,0.7713,373/64/38/172,0.4700,0.8333,0.8467,0.7743
主线/改进型集成与ROI方案,busi_ensemble_effnet5_densenet5_w0.25.json,0.9037,0.5000,0.6286,0.9474,0.8439,0.8516,0.7233,414/23/78/132,0.2900,0.8095,0.8719,0.7798
主线/改进型集成与ROI方案,busi_ensemble_effnet5_densenet05.json,0.9021,0.5000,0.6476,0.9428,0.8470,0.8447,0.7332,412/25/74/136,0.3000,0.8095,0.8719,0.7798
完整5fold单模型/模型族,busi_convnext_tiny_tta_crop90_hflip.json,0.9018,0.5000,0.7524,0.8810,0.8393,0.7524,0.7524,385/52/52/158,0.2600,0.8619,0.7941,0.7526
主线/改进型集成与ROI方案,busi_ensemble_effnet5_densenet025.json,0.9011,0.5000,0.6476,0.9428,0.8470,0.8447,0.7332,412/25/74/136,0.3200,0.8000,0.8764,0.7778
完整5fold单模型/模型族,busi_efficientnetv2_s_5fold_hflip.json,0.8997,0.5000,0.6810,0.9291,0.8485,0.8218,0.7448,406/31/67/143,0.3600,0.7905,0.8741,0.7703
完整5fold单模型/模型族,busi_convnext_tiny_tta_crop100_hflip.json,0.8994,0.5000,0.7762,0.8581,0.8315,0.7244,0.7494,375/62/47/163,0.8200,0.6857,0.9565,0.7721
完整5fold单模型/模型族,busi_convnext_tiny_tta_identity.json,0.8991,0.5000,0.7381,0.8810,0.8346,0.7488,0.7434,385/52/55/155,0.5400,0.7381,0.9085,0.7654
完整5fold单模型/模型族,busi_efficientnetv2_s_5fold_identity.json,0.8982,0.5000,0.6619,0.9314,0.8439,0.8225,0.7335,407/30/71/139,0.3900,0.7762,0.8970,0.7799
完整5fold单模型/模型族,busi_swin_tiny_timm_recipe_5fold_tta_crop_sweep.json,0.8971,0.5000,0.7762,0.8833,0.8485,0.7617,0.7689,386/51/47/163,0.5000,0.7762,0.8833,0.7689
完整5fold单模型/模型族,busi_densenet121_5fold_tta.json,0.8914,0.5000,0.4952,0.9794,0.8223,0.9204,0.6440,428/9/106/104,0.1900,0.7952,0.8581,0.7608
完整5fold单模型/模型族,busi_swin_tiny_timm_recipe_5fold.json,0.8867,0.5000,0.7476,0.8650,0.8269,0.7269,0.7371,378/59/53/157,0.6700,0.7190,0.9199,0.7626
主线/改进型集成与ROI方案,busi_demo_descriptor_router_frozen_review.json,0.8727,0.3600,0.8476,0.7368,0.7728,0.6075,0.7078,322/115/32/178,0.5500,0.7667,0.8581,0.7436
主线/改进型集成与ROI方案,busi_ensemble_effnet_convnext_retrain_conv4.json,0.8712,0.3990,0.7571,0.8398,0.8130,0.6943,0.7244,367/70/51/159,0.3600,0.8048,0.8078,0.7300
主线/改进型集成与ROI方案,busi_ensemble_effnet_convnext_retrain_eff5.json,0.8708,0.3990,0.7762,0.8558,0.8300,0.7212,0.7477,374/63/47/163,0.4300,0.7524,0.8856,0.7560
主线/改进型集成与ROI方案,busi_ensemble_effnet_convnext_retrain_conv4_eff5.json,0.8701,0.3990,0.7524,0.8581,0.8238,0.7182,0.7349,375/62/52/158,0.3600,0.7857,0.8330,0.7366
